iter	Passed	Remaining
422	2244	3062
423	2251	3059
424	2258	3055
425	2263	3050
426	2270	3047
427	2275	3041
428	2282	3037
429	2288	3033
430	2294	3028
431	2300	3025
432	2306	3020
433	2311	3014
434	2318	3011
435	2324	3006
436	2330	3002
437	2336	2997
438	2341	2992
439	2347	2988
440	2353	2983
441	2359	2978
442	2365	2973
443	2370	2967
444	2375	2962
445	2381	2958
446	2386	2952
447	2391	2947
448	2398	2942
449	2403	2938
450	2409	2932
451	2414	2927
452	2419	2921
453	2425	2916
454	2430	2911
455	2435	2905
456	2440	2899
457	2446	2894
458	2451	2889
459	2456	2883
460	2462	2878
461	2468	2874
462	2473	2868
463	2479	2864
464	2485	2859
465	2490	2853
466	2495	2848
467	2501	2843
468	2507	2838
469	2512	2833
470	2517	2828
471	2523	2822
472	2528	2817
473	2533	2811
474	2538	2806
475	2544	2800
476	2549	2795
477	2555	2790
478	2561	2785
479	2566	2779
480	2571	2774
481	2577	2769
482	2581	2763
483	2587	2758
484	2592	2753
485	2597	2747
486	2602	2741
487	2608	2737
488	2614	2731
489	2619	2726
490	2625	2721
491	2630	2715
492	2635	2710
493	2641	2705
494	2646	2700
495	2651	2694
496	2657	2689
497	2662	2684
498	2667	2678
499	2673	2673
500	2678	2667
501	2684	2663
502	2691	2658
503	2696	2653
504	2701	2647
505	2707	2642
506	2712	2637
507	2717	2631
508	2722	2625
509	2727	2620
510	2732	2614
511	2737	2609
512	2743	2604
513	2749	2599
514	2755	2594
515	2760	2589
516	2765	2583
517	2771	2579
518	2777	2574
519	2782	2568
520	2787	2562
521	2792	2557
522	2798	2551
523	2803	2546
524	2808	2540
525	2813	2535
526	2818	2530
527	2825	2525
528	2830	2520
529	2836	2515
530	2842	2510
531	2847	2505
532	2853	2500
533	2858	2494
534	2863	2488
535	2868	2483
536	2873	2477
537	2878	2471
538	2883	2466
539	2888	2460
540	2894	2455
541	2899	2450
542	2905	2445
543	2911	2440
544	2917	2435
545	2922	2430
546	2928	2425
547	2933	2419
548	2939	2414
549	2943	2408
550	2949	2403
551	2954	2397
552	2959	2392
553	2964	2386
554	2969	2381
555	2975	2375
556	2980	2370
557	2986	2365
558	2992	2360
559	2998	2355
560	3002	2349
561	3008	2344
562	3013	2338
563	3018	2333
564	3022	2327
565	3027	2321
566	3033	2316
567	3038	2310
568	3043	2305
569	3048	2300
570	3054	2294
571	3060	2289
572	3065	2284
573	3070	2278
574	3075	2273
575	3080	2267
576	3085	2261
577	3090	2256
578	3095	2250
579	3100	2245
580	3105	2239
581	3110	2234
582	3115	2228
583	3120	2222
584	3125	2217
585	3131	2212
586	3136	2206
587	3141	2201
588	3147	2196
589	3151	2190
590	3156	2184
591	3162	2179
592	3167	2173
593	3172	2168
594	3177	2163
595	3182	2157
596	3187	2151
597	3192	2146
598	3197	2140
599	3202	2135
600	3207	2129
601	3212	2123
602	3217	2118
603	3222	2112
604	3227	2107
605	3233	2102
606	3238	2096
607	3243	2091
608	3248	2085
609	3253	2080
610	3259	2074
611	3263	2069
612	3268	2063
613	3273	2057
614	3278	2052
615	3283	2046
616	3288	2041
617	3293	2035
618	3298	2029
619	3302	2024
620	3307	2018
621	3312	2013
622	3317	2007
623	3322	2002
624	3327	1996
625	3332	1990
626	3336	1985
627	3341	1979
628	3346	1973
629	3351	1968
630	3356	1962
631	3361	1957
632	3365	1951
633	3370	1945
634	3375	1940
635	3380	1934
636	3385	1929
637	3389	1923
638	3394	1917
639	3399	1912
640	3404	1906
641	3409	1901
642	3413	1895
643	3418	1889
644	3422	1883
645	3427	1878
646	3432	1872
647	3436	1866
648	3441	1861
649	3446	1855
650	3451	1850
651	3456	1844
652	3461	1839
653	3467	1834
654	3471	1828
655	3476	1823
656	3482	1817
657	3489	1813
658	3495	1808
659	3501	1803
660	3506	1798
661	3512	1793
662	3518	1788
663	3523	1782
664	3528	1777
665	3533	1772
666	3538	1766
667	3543	1761
668	3548	1755
669	3552	1749
670	3557	1744
671	3562	1738
672	3567	1733
673	3572	1727
674	3577	1722
675	3582	1716
676	3587	1711
677	3592	1705
678	3596	1700
679	3601	1694
680	3606	1689
681	3611	1683
682	3616	1678
683	3621	1673
684	3626	1667
685	3631	1662
686	3636	1656
687	3641	1651
688	3646	1645
689	3651	1640
690	3656	1634
691	3661	1629
692	3666	1624
693	3671	1618
694	3676	1613
695	3681	1608
696	3686	1602
697	3691	1597
698	3696	1591
699	3701	1586
700	3706	1580
701	3711	1575
702	3716	1570
703	3721	1564
704	3726	1559
705	3731	1553
706	3736	1548
707	3740	1542
708	3745	1537
709	3750	1532
710	3755	1526
711	3760	1521
712	3765	1515
713	3770	1510
714	3775	1504
715	3780	1499
716	3785	1494
717	3790	1488
718	3794	1483
719	3799	1477
720	3804	1472
721	3809	1466
722	3814	1461
723	3819	1455
724	3824	1450
725	3828	1445
726	3833	1439
727	3838	1434
728	3843	1428
729	3847	1423
730	3852	1417
731	3857	1412
732	3862	1406
733	3867	1401
734	3872	1396
735	3877	1390
736	3882	1385
737	3887	1379
738	3892	1374
739	3897	1369
740	3902	1363
741	3906	1358
742	3912	1353
743	3916	1347
744	3922	1342
745	3927	1337
746	3932	1331
747	3937	1326
748	3942	1321
749	3947	1315
750	3952	1310
751	3957	1305
752	3962	1299
753	3967	1294
754	3972	1289
755	3977	1283
756	3982	1278
757	3987	1272
758	3991	1267
759	3996	1262
760	4001	1256
761	4006	1251
762	4010	1245
763	4015	1240
764	4021	1235
765	4026	1230
766	4033	1225
767	4040	1220
768	4045	1215
769	4050	1209
770	4055	1204
771	4061	1199
772	4066	1194
773	4071	1188
774	4077	1183
775	4082	1178
776	4088	1173
777	4094	1168
778	4099	1162
779	4104	1157
780	4109	1152
781	4115	1147
782	4121	1142
783	4126	1136
784	4130	1131
785	4135	1126
786	4141	1120
787	4146	1115
788	4152	1110
789	4157	1105
790	4163	1100
791	4169	1094
792	4174	1089
793	4179	1084
794	4186	1079
795	4192	1074
796	4198	1069
797	4204	1064
798	4210	1059
799	4216	1054
800	4222	1048
801	4226	1043
802	4232	1038
803	4238	1033
804	4244	1028
805	4250	1022
806	4255	1017
807	4260	1012
808	4266	1007
809	4272	1002
810	4277	996
811	4282	991
812	4287	986
813	4292	980
814	4298	975
815	4303	970
816	4308	965
817	4314	959
818	4320	954
819	4326	949
820	4331	944
821	4337	939
822	4342	933
823	4347	928
824	4352	923
825	4357	917
826	4362	912
827	4368	907
828	4373	902
829	4378	896
830	4384	891
831	4390	886
832	4396	881
833	4401	876
834	4406	870
835	4412	865
836	4418	860
837	4423	855
838	4428	849
839	4433	844
840	4438	839
841	4443	833
842	4448	828
843	4454	823
844	4459	817
845	4464	812
846	4470	807
847	4475	802
848	4481	797
849	4487	791
850	4493	786
851	4498	781
852	4503	776
853	4509	770
854	4514	765
855	4519	760
856	4524	755
857	4529	749
858	4534	744
859	4540	739
860	4546	733
861	4551	728
862	4557	723
863	4563	718
864	4568	712
865	4573	707
866	4579	702
867	4584	697
868	4589	691
869	4594	686
870	4599	681
871	4604	675
872	4609	670
873	4615	665
874	4621	660
875	4626	654
876	4632	649
877	4637	644
878	4643	639
879	4648	633
880	4654	628
881	4658	623
882	4664	618
883	4669	612
884	4674	607
885	4679	602
886	4685	596
887	4690	591
888	4695	586
889	4700	580
890	4705	575
891	4711	570
892	4716	565
893	4722	559
894	4727	554
895	4733	549
896	4740	544
897	4746	539
898	4751	533
899	4756	528
900	4761	523
901	4766	517
902	4771	512
903	4776	507
904	4782	501
905	4787	496
906	4792	491
907	4797	486
908	4803	480
909	4808	475
910	4814	470
911	4819	465
912	4824	459
913	4829	454
914	4834	449
915	4840	443
916	4845	438
917	4850	433
918	4856	428
919	4862	422
920	4867	417
921	4873	412
922	4878	406
923	4890	402
924	4896	397
925	4902	391
926	4907	386
927	4912	381
928	4917	375
929	4922	370
930	4927	365
931	4933	359
932	4939	354
933	4944	349
934	4950	344
935	4957	338
936	4963	333
937	4969	328
938	4976	323
939	4981	317
940	4986	312
941	4992	307
942	4998	302
943	5003	296
944	5009	291
945	5014	286
946	5020	280
947	5025	275
948	5030	270
949	5035	265
950	5040	259
951	5045	254
952	5050	249
953	5055	243
954	5060	238
955	5065	233
956	5070	227
957	5075	222
958	5080	217
959	5085	211
960	5090	206
961	5095	201
962	5100	195
963	5105	190
964	5110	185
965	5115	180
966	5119	174
967	5124	169
968	5129	164
969	5134	158
970	5139	153
971	5143	148
972	5149	142
973	5154	137
974	5158	132
975	5163	126
976	5168	121
977	5173	116
978	5179	111
979	5184	105
980	5189	100
981	5194	95
982	5199	89
983	5204	84
984	5209	79
985	5214	74
986	5219	68
987	5224	63
988	5229	58
989	5234	52
990	5239	47
991	5244	42
992	5248	37
993	5254	31
994	5259	26
995	5264	21
996	5269	15
997	5274	10
998	5279	5
999	5284	0
